Granja,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Total
SSF_Iberia,14,17.5,18.6,17.95,16.8,16.8,16.5,16,16,16,15,0,0,0,0,0,0,0,181.15
Total,14,17.5,18.6,17.95,16.8,16.8,16.5,16,16,16,15,0,0,0,0,0,0,0,181.15
