Granja,FechaFin,Gen,Talla,Biomasa,Num
Couso i+d,2024-10-31,23 5SG,e.400 - 500,834.5619858268799,1710.0
Anglet_P,2024-10-31,23 5SG,f.500 - 600,6731.858014262216,12896.0
Couso i+d,2024-10-31,23 5SG,f.500 - 600,871.879388346472,1727.0
Anglet_P,2024-10-31,23 5SG,f.500 - 600,158.38652439503028,311.0
Anglet_P,2024-10-31,23 5SG,f.500 - 600,406.24861946037606,777.0
Anglet_P,2024-10-31,23 5SG,e.400 - 500,1999.65838108075,4453.0
Tocha Sole,2024-10-31,24 2SG,d.300 - 400,1999.7293227385048,6254.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,114.92856085616468,199.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,485.10409579692,933.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,3154.972299080561,5835.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,4011.504974268498,7044.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,413.20855137184,812.0
Tocha Sole,2024-10-31,23 5SG,g.600 - 800,3802.253235469588,5944.0
Hafnir_P,2024-10-31,24 1SG,d.300 - 400,3642.569776314792,9871.0
Anglet_P,2024-10-31,23 6SG,f.500 - 600,2461.92263025922,4702.0
Anglet_P,2024-10-31,23 6SG,f.500 - 600,3241.061967364827,5485.0
Anglet_P,2024-10-31,23 6SG,f.500 - 600,0.505655376188,1.0
Hafnir_P,2024-10-31,23 6SG,f.500 - 600,715.7606358812001,1330.0
Hafnir_P,2024-10-31,23 6SG,f.500 - 600,4070.837110599656,7153.0
Hafnir_P,2024-10-31,23 6SG,f.500 - 600,1033.550951028207,1939.0
Couso i+d,2024-10-31,24 1SG,g.600 - 800,123.92397122932556,199.0
Tocha Sole,2024-10-31,23 6SG,g.600 - 800,4083.194137108115,6561.0
Cervo Sole,2024-10-31,23 6SG,g.600 - 800,3548.041734690876,4701.0
Cervo Sole,2024-10-31,23 6SG,g.600 - 800,4863.758420650031,7658.0
Tocha Sole,2024-10-31,23 6SG,g.600 - 800,1514.4279258534852,2280.0
Anglet_P,2024-10-31,23 6SG,g.600 - 800,2844.919939572479,4704.0
Couso i+d,2024-10-31,24 1SG,f.500 - 600,128.06441106732,234.0
Couso i+d,2024-10-31,24 1SG,e.400 - 500,165.07907937441922,372.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,1299.8415226120455,3055.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,3833.101967037725,8755.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,3964.967660839245,8901.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,3901.6088750340223,8083.0
Hafnir_P,2024-10-31,24 1SG,d.300 - 400,1357.3479740396276,3456.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,0.408352526119684,1.0
Cervo Sole,2024-10-31,24 1SG,f.500 - 600,3099.7180767135974,5315.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,4023.473177154998,6992.0
Cervo Sole,2024-10-31,24 1SG,g.600 - 800,3532.3000450917057,4956.0
Cervo Sole,2024-10-31,24 1SG,f.500 - 600,1900.138548523236,3688.0
Tocha Sole,2024-10-31,24 1SG,c.200 - 300,499.7790649013072,1909.0
Cervo Sole,2024-10-31,24 1SG,g.600 - 800,55.77404576819552,89.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,3565.017471092858,7028.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,3725.625914488431,7151.0
Tocha Sole,2024-10-31,24 1SG,e.400 - 500,339.73474251426046,686.0
