Granja,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Total
Anglet_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervo Sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couso i+d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hafnir_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocha Sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
