Fecha,Granja,Tanque,Gen,Lote,PesoMedio,Num,Biomasa,Edad,EdadMeses,Talla_100,Talla_500
11 - optima,Lira_P,Optima,Optima,Optima,NA,17297.2973,32000,Optima,NA,as.1800 - 1900,g.1500 - 2000
11 - optima,Lira_P,Optima,Optima,Optima,NA,15384.61538,30000,Optima,NA,at.1900 - 2000,g.1500 - 2000
11 - optima,Lira_P,Optima,Optima,Optima,NA,6976.744186,15000,Optima,NA,au.2000 - 2100,h.2000 - 2500
11 - optima,Lira_P,Optima,Optima,Optima,NA,4444.444444,10000,Optima,NA,av.2100 - 2200,h.2000 - 2500
11 - optima,Lira_P,Optima,Optima,Optima,NA,2553.191489,6000,Optima,NA,aw.2200 - 2300,h.2000 - 2500
11 - optima,Lira_P,Optima,Optima,Optima,NA,816.3265306,2000,Optima,NA,ax.2300 - 2400,h.2000 - 2500
11 - optima,Lira_P,Optima,Optima,Optima,NA,784.3137255,2000,Optima,NA,ay.2400 - 2500,h.2000 - 2500
11 - optima,Lira_P,Optima,Optima,Optima,NA,2264.150943,6000,Optima,NA,az.2500 - 2600,i.2500 - 3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,1090.909091,3000,Optima,NA,ba.2600 - 2700,i.2500 - 3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,701.754386,2000,Optima,NA,bb.2700 - 2800,i.2500 - 3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,677.9661017,2000,Optima,NA,bc.2800 - 2900,i.2500 - 3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,634.9206349,2000,Optima,NA,bd.2900 - 3000,i.2500 - 3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,1538.461538,5000,Optima,NA,be.3000 - 3100,j.3000
11 - optima,Lira_P,Optima,Optima,Optima,NA,1492.537313,5000,Optima,NA,bf.3100 - 3200,j.3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,5.00E+05,25000,Optima,NA,aa.0 - 100,a.0 - 300
05 - optima,Vilan_P,Optima,Optima,Optima,NA,173333.3333,26000,Optima,NA,ab.100 - 200,a.0 - 300
05 - optima,Vilan_P,Optima,Optima,Optima,NA,108000,27000,Optima,NA,ac.200 - 300,a.0 - 300
05 - optima,Vilan_P,Optima,Optima,Optima,NA,80000,28000,Optima,NA,ad.300 - 400,b.300 - 400
05 - optima,Vilan_P,Optima,Optima,Optima,NA,64444.44444,29000,Optima,NA,ae.400 - 500,c.400 - 600
05 - optima,Vilan_P,Optima,Optima,Optima,NA,65454.54545,36000,Optima,NA,af.500 - 600,c.400 - 600
05 - optima,Vilan_P,Optima,Optima,Optima,NA,61538.46154,40000,Optima,NA,ag.600 - 700,d.600 - 800
05 - optima,Vilan_P,Optima,Optima,Optima,NA,50666.66667,38000,Optima,NA,ah.700 - 800,d.600 - 800
05 - optima,Vilan_P,Optima,Optima,Optima,NA,41176.47059,35000,Optima,NA,ai.800 - 900,e.800 - 1000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,27368.42105,26000,Optima,NA,aj.900 - 1000,e.800 - 1000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,28571.42857,30000,Optima,NA,ak.1000 - 1100,f.1000 - 1500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,26086.95652,30000,Optima,NA,al.1100 - 1200,f.1000 - 1500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,23200,29000,Optima,NA,am.1200 - 1300,f.1000 - 1500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,20000,27000,Optima,NA,an.1300 - 1400,f.1000 - 1500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,23448.27586,34000,Optima,NA,ao.1400 - 1500,f.1000 - 1500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,12258.06452,19000,Optima,NA,ap.1500 - 1600,g.1500 - 2000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,11515.15152,19000,Optima,NA,aq.1600 - 1700,g.1500 - 2000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,9714.285714,17000,Optima,NA,ar.1700 - 1800,g.1500 - 2000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,9189.189189,17000,Optima,NA,as.1800 - 1900,g.1500 - 2000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,6666.666667,13000,Optima,NA,at.1900 - 2000,g.1500 - 2000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,6976.744186,15000,Optima,NA,au.2000 - 2100,h.2000 - 2500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,6666.666667,15000,Optima,NA,av.2100 - 2200,h.2000 - 2500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,6382.978723,15000,Optima,NA,aw.2200 - 2300,h.2000 - 2500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,2040.816327,5000,Optima,NA,ax.2300 - 2400,h.2000 - 2500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,1960.784314,5000,Optima,NA,ay.2400 - 2500,h.2000 - 2500
05 - optima,Vilan_P,Optima,Optima,Optima,NA,3018.867925,8000,Optima,NA,az.2500 - 2600,i.2500 - 3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,2909.090909,8000,Optima,NA,ba.2600 - 2700,i.2500 - 3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,4912.280702,14000,Optima,NA,bb.2700 - 2800,i.2500 - 3000
05 - optima,Vilan_P,Optima,Optima,Optima,NA,5762.711864,17000,Optima,NA,bc.2800 - 2900,i.2500 - 3000
