Activar,Granja,Ajuste_por,Talla_Gen_Edad,Mes_inicio,Mes_fin,Ajuste,Por_Cull
True,SSF_Iberia,Gen,24 1,2024-05-01,2024-06-01,100,True
False,SSF_Iberia,Gen,24 1,2024-05-01,2024-05-01,0,False
