Granja,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Total
SSF_Iberia,14.5,16.8,17.2,18.3,19.1,18.3,17,16.5,16.5,16,16,16.5,0,0,0,0,0,0,16.8916666666667
Total,14.5,16.8,17.2,18.3,19.1,18.3,17,16.5,16.5,16,16,16.5,0,0,0,0,0,0,16.8916666666667
