Granja,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Total
SSF_Iberia,331988,271655,300746,371907,227907,304007,350000,400000.0,350000,350000,300000.0,300000.0,350000,0,0,0,0,0,4208210
Total,331988,271655,300746,371907,227907,304007,350000,400000.0,350000,350000,300000.0,300000.0,350000,0,0,0,0,0,4208210
