Granja,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Total
SSF_Iberia,7833,8565,12452,11450,9593,10019,12600,8600,8600,8000,8000,8000,0,0,0,0,0,0,113712
Total,7833,8565,12452,11450,9593,10019,12600,8600,8600,8000,8000,8000,0,0,0,0,0,0,113712
