FARM,DATA,TYPE,YearClass,Gen,a_Sep-2024,b_Oct-2024,c_Nov-2024,d_Dec-2024,e_Jan-2025,f_Feb-2025,g_Mar-2025,h_Apr-2025,i_May-2025,j_Jun-2025,k_Jul-2025,l_Aug-2025,m_Sep-2025,n_Oct-2025,o_Nov-2025,p_Dec-2025,q_Jan-2026,r_Feb-2026
Consolidado,culling,avweight,TOTAL,TOTAL,55.67103912073127,62.494404153145176,55.71377061930515,34.35666279681222,36.81350671333656,37.92892684468336,38.573863303850544,38.87143110923023,36.26988256800961,34.44884726673116,31.829363962604294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2022,22 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2022,22 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2023,23 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 2,3.171957740932333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 3,260.26339937836804,208.60632106319858,164.96847480376255,165.63347134343172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2024,24 4,0.0,0.0,0.0,0.0,99.9854842334221,114.05228302196286,143.45619762702017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2025,25 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.58799149793569,110.26044300674923,120.57096543355905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.31745585041719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,biomass,TOTAL,TOTAL,263.43535711930036,208.60632106319858,164.96847480376255,165.63347134343172,99.9854842334221,114.05228302196286,143.45619762702017,88.58799149793569,110.26044300674923,120.57096543355905,127.31745585041719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2022,22 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2022,22 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2023,23 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 2,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 3,4676.0,3338.0,2961.0,4821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2024,24 4,0.0,0.0,0.0,0.0,2716.0,3007.0,3719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2025,25 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2279.0,3040.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0
Consolidado,culling,number,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,140.0,0.0,0.0
Consolidado,culling,number,TOTAL,TOTAL,4732.0,3338.0,2961.0,4821.0,2716.0,3007.0,3719.0,2279.0,3040.0,3500.0,4000.0,140.0,140.0,120.0,120.0,140.0,0.0,0.0
Consolidado,final,avweight,2022,22 3,4699.722155737599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,avweight,2022,22 4,3814.158722150737,4099.537396128053,4462.74310696683,4802.400003655551,5153.811400952773,5495.422452484197,5905.692500556323,6206.458749889508,6577.697012503147,6865.4267874743955,7197.358559237004,7499.632601896954,7774.978043050483,7782.753021093534,7790.535774114626,7798.326309888742,7806.12463619863,7813.930760834828
Consolidado,final,avweight,2023,23 1,3536.284379049073,4192.372102394533,4620.311012598674,4988.768031317786,5370.997698372291,5743.56655194249,6125.604332139806,6451.9186153240325,6787.849216949774,7098.473420839195,7457.630532838053,7785.578013595166,8085.105818402542,8388.696172579534,8397.084868752114,8405.481953620863,8413.887435574487,8422.30132301006
Consolidado,final,avweight,2023,23 2,2397.20236616265,2816.1485100588106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,avweight,2023,23 3,1551.0829497977177,1700.6257628339392,1961.5207441707416,2638.132059942407,2278.645243315475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,avweight,2023,23 4,1000.8300581885499,1178.7506646338036,1361.198257316225,1462.0389779033515,1568.057786819734,1394.9643921290235,686.3169447885873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,avweight,2024,24 1,554.4643579280972,701.6070415784823,863.4489671190669,1048.6167955030542,1251.1006003961454,1455.9884946284328,1450.3921849878247,1518.454998398712,1521.6115304032323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,avweight,2024,24 2,260.42422999123835,360.37276328017845,480.85765903465284,631.5381045558883,808.3229448325831,996.6999489764868,1204.4153609396285,1380.8410635027853,1541.2097836962291,1750.6020286745481,1977.0541155603762,2222.1580489552175,2458.5166097850865,2710.118319979758,2959.0732147233284,3222.127063407916,3489.7960716945245,3733.1817644771268
Consolidado,final,avweight,2024,24 3,73.91865137516723,113.66603217844812,168.33355003417537,245.59734158303687,346.03113320098794,465.38562064891244,606.4092282734958,744.5127192907986,898.4556174525898,1053.6416424870467,1239.687882994048,1418.7752987543663,1594.7029145504357,1789.38057458591,1983.8974564681614,2191.213494691153,2403.922302700608,2598.839685286621
Consolidado,final,avweight,2024,24 4,0.0,26.277743376270006,33.74788019359868,43.46788497597837,68.75774164332,103.3411063501715,150.77467272762257,202.20810926728123,265.1676052749404,332.70114280488826,420.0431268379214,509.0864336479374,596.4973221004486,688.6825740376021,781.3219399368213,881.7528080170658,989.2933368228257,1089.0665512081694
Consolidado,final,avweight,2025,25 1,0.0,0.0,0.0,0.0,27.215193139862986,34.27372292674127,43.921214441888885,65.20397947489049,94.7499686668967,130.44462059480654,180.8636573257886,237.49957646994488,298.12302939894005,367.50181971506447,439.7518406820169,518.1300749790217,597.9990586411371,672.2822401134188
Consolidado,final,avweight,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.097116616580013,32.77243520602025,41.171280336352815,63.32756504354886,91.40358071450133,124.78543875434733,166.4937867311253,213.67042145237144,268.9142083704507,329.8556793224361,388.4692538274393
Consolidado,final,avweight,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.40226424119649,33.39054710915242,40.59306650026192,60.05889486091624,84.95850751637413,117.45979423640719,157.02729428374894,198.68012110956997
Consolidado,final,avweight,TOTAL,TOTAL,655.0615507118714,642.5961368729392,636.8136443387717,626.1433624357428,643.9175274548688,650.3057949348869,605.7601984952431,599.1963328544421,605.933468081032,611.2306342033175,611.2599494176349,669.7035609856586,716.1494897178687,814.9809475693964,915.6191133064481,1025.2968128580758,1140.2990368078752,1247.4519566853603
Consolidado,final,biomass,2022,22 3,1752.9963640901246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,biomass,2022,22 4,67125.37935113082,25560.615664858407,18011.631179718126,19382.486414753803,20800.78281424539,22179.525018226217,18272.212596721263,19202.783372158137,14911.639127344633,15563.922527204455,16316.411853790287,17001.667108500395,17625.875223595445,17643.50109881904,17661.144599917858,17678.805744517776,17696.484550262292,17714.181034812555
Consolidado,final,biomass,2023,23 1,69686.01997354103,58730.940782445,49441.94814581841,53384.806703131624,57475.04637028188,61461.90567233659,65550.09195822806,69041.98110258247,72636.77447057953,75960.76407640023,79804.1043319,83313.47032348187,86518.71736272561,89767.43774277359,89857.20518051636,89947.06238569687,90037.00944808256,90127.04645753065
Consolidado,final,biomass,2023,23 2,159059.17139962415,32394.1563112065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,biomass,2023,23 3,1143982.616627909,750945.3180945825,238785.72779162522,66343.74504343166,14658.52485024845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,biomass,2023,23 4,941497.849848958,1066432.2288035068,1211079.8687063623,890915.3817700756,436605.3059887263,72232.65118883297,1401.4592012582953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,biomass,2024,24 1,553876.6257086934,697199.5461432863,847688.4331222426,995680.5224324688,1168232.7010283063,1157765.651216164,522000.4985536731,201119.3645379094,14721.591556651272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,biomass,2024,24 2,248310.33650896588,343609.66382343764,457930.3658518806,598548.4485882022,756547.4352472216,922579.3605709013,1087176.365290404,1217987.4301553937,1243203.00113051,1083879.9942477604,770159.453662429,865639.445812456,957712.6868251706,1055723.8814297947,1152704.0117222578,1255176.3754234903,1359446.5699325304,1454257.2231703002
Consolidado,final,biomass,2024,24 3,93975.29472739686,144128.0741381435,212947.83246748307,309505.2082257252,436072.5864334834,586155.0507497878,753708.455458041,918413.7667245856,1085828.5364723273,1234045.1108720363,1401137.394747895,1603548.0810123424,1802387.453923997,2022418.7643365313,2242268.357813836,2476583.9929587604,2716994.719870519,2937296.9728602385
Consolidado,final,biomass,2024,24 4,0.0,7137.770877809469,19315.531733045817,41044.63732433753,64737.88903588494,96988.62520172012,140945.67181250887,189026.16262414717,247881.32908706702,311012.3553054376,392660.0953562305,475898.5799519947,557611.0651753983,643786.6683535168,730386.7813504,824270.4607096253,924800.3149020089,1018069.2136683576
Consolidado,final,biomass,2025,25 1,0.0,0.0,0.0,0.0,6201.36276962174,18229.78194005856,38733.5919617285,57354.007181928944,83054.88528437298,113887.15445808716,157906.45243776892,207353.5177290383,260281.97515430316,320854.44623681164,383933.6997924078,452363.3064318595,522094.4401287589,586948.7830935824
Consolidado,final,biomass,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10038.846646632004,24579.326404515185,45288.4083699881,69407.01128772955,100165.52796179343,136729.90095191344,182430.57199702863,234122.95419379245,294654.6763956703,361429.46494717966,425653.5308038018
Consolidado,final,biomass,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7920.679272358948,20034.328265491455,38563.413175248825,57048.74305048712,80690.19209875149,111542.169802777,149116.25919773369,188670.61660806983
Consolidado,final,biomass,TOTAL,TOTAL,3279266.290510309,3126138.3146392764,3055201.338998176,2974805.236502127,2961331.63453802,2937592.5515580275,2627788.346832563,2682184.3423453374,2786817.0835333676,2879637.7098569144,2895311.602950102,3372954.618165098,3857431.0877923523,4389674.0142457625,4931624.34675188,5522216.849852397,6141615.262977075,6718737.567696693
Consolidado,final,number,2022,22 3,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,number,2022,22 4,17599.0,6235.0,4036.0,4036.0,4036.0,4036.0,3094.0,3094.0,2267.0,2267.0,2267.0,2267.0,2267.0,2267.0,2267.0,2267.0,2267.0,2267.0
Consolidado,final,number,2023,23 1,19706.0,14009.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0,10701.0
Consolidado,final,number,2023,23 2,66352.0,11503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,number,2023,23 3,737538.0,441570.0,121735.0,25148.0,6433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,number,2023,23 4,940717.0,904714.0,889716.0,609365.0,278437.0,51781.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,number,2024,24 1,998940.0,993718.0,981747.0,949518.0,933764.0,795175.0,359903.0,132450.0,9675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,final,number,2024,24 2,953484.0,953484.0,952320.0,947763.0,935947.0,925634.0,902659.0,882062.0,806641.0,619147.0,389549.0,389549.0,389549.0,389549.0,389549.0,389549.0,389549.0,389549.0
Consolidado,final,number,2024,24 3,1271334.0,1267996.0,1265035.0,1260214.0,1260212.0,1259504.0,1242904.0,1233577.0,1208550.0,1171219.0,1130234.0,1130234.0,1130234.0,1130234.0,1130234.0,1130234.0,1130234.0,1130234.0
Consolidado,final,number,2024,24 4,0.0,271628.0,572348.0,944252.0,941536.0,938529.0,934810.0,934810.0,934810.0,934810.0,934809.0,934809.0,934809.0,934809.0,934809.0,934809.0,934809.0,934809.0
Consolidado,final,number,2025,25 1,0.0,0.0,0.0,0.0,227864.0,531888.0,881888.0,879609.0,876569.0,873069.0,873069.0,873069.0,873069.0,873069.0,873069.0,873069.0,873069.0,873069.0
Consolidado,final,number,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,750000.0,1100000.0,1096000.0,1095860.0,1095720.0,1095720.0,1095720.0,1095720.0,1095720.0,1095720.0
Consolidado,final,number,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,600000.0,950000.0,949880.0,949760.0,949620.0,949620.0,949620.0
Consolidado,final,number,TOTAL,TOTAL,5006043.0,4864857.0,4797638.0,4750997.0,4598930.0,4517248.0,4338001.0,4476303.0,4599213.0,4711213.0,4736629.0,5036489.0,5386349.0,5386229.0,5386109.0,5385969.0,5385969.0,5385969.0
Consolidado,growth,%,2022,22 3,1.3993500128940173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,growth,%,2022,22 4,4.419125972879296,2.8081396278385204,4.96684482605627,7.610944402299992,7.317412065420005,6.6283188295999915,4.924741798139458,5.092819331600018,3.6821569914623735,4.374323937760006,4.834830842100007,4.199791356399989,3.6714524000000144,0.0999999999999995,0.09999999999998883,0.10000000000000517,0.09999999999998745,0.09999999999998081
Consolidado,growth,%,2023,23 1,7.621497014239316,6.684069952768354,6.201372455240909,7.974723297076807,7.661804771338282,6.936678704649389,6.651577495312725,5.327054531944252,5.206677604827012,4.5761800824003105,5.059638751967,4.397475569660741,3.847213453957326,3.7549335901824237,0.1000000000000023,0.09999999999999235,0.09999999999999293,0.10000000000000772
Consolidado,growth,%,2023,23 2,3.3730022429065936,2.0520739105936303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,growth,%,2023,23 3,9.883745054070557,7.926344107228064,3.6417698997171843,3.06935857587005,2.333659326500911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,growth,%,2023,23 4,15.494341711055586,16.173669200683552,14.524026702035295,9.565807689746508,6.616438637704506,2.0162978148237043,0.23281713334273182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,growth,%,2024,24 1,24.708715303303926,26.272685094085862,22.156886683731067,20.011303747545615,18.18413494898867,13.728334706980705,6.049069854191695,4.227634697337445,0.8326151773950364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consolidado,growth,%,2024,24 2,35.75856975514826,38.379122131724365,33.485340081911566,31.178253283365333,27.49723637470747,22.811848485312197,19.71965747824236,14.80773688398494,12.667731329384596,12.252147970782996,9.004741594117425,12.39743168716294,10.636442396210153,10.233882870397423,9.1861264103565,8.889737752203038,8.307214551728624,6.974209603726855
Consolidado,growth,%,2024,24 3,62.35274938353391,53.36804694917916,47.749030673494865,45.343206662122924,40.89358903637518,34.495284965137365,30.319112826096635,22.46915266639188,19.94636276319685,16.103096050582735,16.26795640725106,14.44616973490076,12.399963260604233,12.207769751919976,10.870626665166846,10.449937195446893,9.70735204601485,8.108306261273055
Consolidado,growth,%,2024,24 4,0.0,0.0,170.61013954784733,112.49550823452947,57.725572099277464,49.817404685466705,45.321857608936554,34.11278274340822,31.13598966717922,25.468245813784595,26.252249680115984,21.19861059990022,17.170146889626384,15.454428464580735,13.451678522384244,12.853967480852454,12.196221869437867,10.085301363271208
Consolidado,growth,%,2025,25 1,0.0,0.0,0.0,0.0,0.0,193.96412719732743,112.47424730086524,48.07304016265445,44.81095457013133,37.12276414343005,38.65167954115649,31.314151212887598,25.52570991075721,23.271865463061456,19.659772303432423,17.823287373953224,15.414851891264783,12.4219562554294
Consolidado,growth,%,2025,25 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.84213445736276,84.25406630211268,53.25557639540376,44.31615207655783,36.50394874778369,33.42405042858012,28.33537253701412,25.854672135980916,22.66204947714537,17.769460457798594
Consolidado,growth,%,2025,25 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.93699664630913,92.48667918491267,47.934890491235734,41.440788673191456,38.235102559017065,33.685994688280864,26.525851455196182
Consolidado,growth,%,TOTAL,TOTAL,14.499001495886743,16.798444695546262,17.199571026016653,18.302792223195947,19.097257514633668,18.296966307782164,17.003380915185296,16.49937318853873,16.499777981120136,15.99745230664691,15.997035376383224,16.497119506180766,14.363563239721595,13.79785962055951,12.346026851819321,11.975618205581696,11.216481169898893,9.396914004018303
Consolidado,growth,biomass,2022,22 3,93.14636409012383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
