Granja,FechaFin,Gen,Talla,Biomasa,Num
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5384.323983886718,2426.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4133.535168457031,1975.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,152.164,109.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,937.122,499.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5584.91403125,2432.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4170.086635253906,2316.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,4437.680161865234,3094.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,680.21,542.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,4727.861952392578,3178.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,3178.0,1816.0
SSF_Iberia,2024-09-30,23 3,f.1000 - 1500,3800.280148925781,2890.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5234.224372558594,2353.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4102.25556640625,2200.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5107.850755371093,2498.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4907.411901123047,2478.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4097.008336425782,1762.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,5346.788018554687,2952.0
SSF_Iberia,2024-09-30,23 4,f.1000 - 1500,3672.5881640625,2790.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,5223.724553222656,2387.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4008.740870361328,2094.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4975.9236020507815,2379.0
SSF_Iberia,2024-09-30,23 3,g.1500 - 2000,6505.347739746094,3924.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,657.4,346.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4731.1,2992.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,4132.500198242187,1798.0
SSF_Iberia,2024-09-30,23 2,h.2000 - 2500,592.00003125,288.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,1522.970625,1353.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4691.25,2502.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4465.124856445313,2499.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4681.654678344727,2375.0
SSF_Iberia,2024-09-30,23 2,f.1000 - 1500,1968.076826171875,1720.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4687.2,2604.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4462.55,2396.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,6577.149572753906,3510.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4435.178613891601,2435.0
SSF_Iberia,2024-09-30,23 2,g.1500 - 2000,4722.372863525391,2382.0
SSF_Iberia,2024-09-30,23 3,e.800 - 1000,3059.896898803711,3363.0
