Granja,Edad,PesoMedio,Type
Oye_P,698,1263,Historical
Oye_P,726,1370,Historical
Oye_P,573,694,Historical
Oye_P,692,1320,Historical
Oye_P,573,722,Historical
Oye_P,692,1393,Historical
Oye_P,692,1126,Historical
Oye_P,669,1494,Historical
Oye_P,607,1040,Historical
Oye_P,739,1572.677165,Historical
Oye_P,797,1621,Historical
Oye_P,706,1115,Historical
Oye_P,612,1019.827586,Historical
Oye_P,706,1981,Historical
Oye_P,769,2080.691927,Historical
Oye_P,670,2301,Historical
Oye_P,769,542.3473287,Historical
Oye_P,860,2170,Historical
Oye_P,698,2100,Historical
Oye_P,817,2555,Historical
Oye_P,755,1874,Historical
Cervo_P,427,822.4761905,Historical
Cervo_P,462,985.9,Historical
Cervo_P,581,1998.77551,Historical
Cervo_P,899,3158.235294,Historical
Cervo_P,489,1143.857143,Historical
Cervo_P,462,1195.6,Historical
Cervo_P,399,807.5555556,Historical
Cervo_P,462,1151.6,Historical
Cervo_P,490,1061.3,Historical
Cervo_P,490,1351.5,Historical
Cervo_P,462,949.4285714,Historical
Cervo_P,593,1635.042017,Historical
Cervo_P,652,1493.2,Historical
Cervo_P,518,1307.7,Historical
Cervo_P,553,1603.571429,Historical
Cervo_P,389,734.9333333,Historical
Cervo_P,418,928.88,Historical
Tocha_P,411,378.6181818,Historical
Oye_P,706,1411,Historical
Oye_P,852,1900.08,Historical
Oye_P,629,1320,Historical
Oye_P,706,1655,Historical
Oye_P,734,2296,Historical
Oye_P,377,408,Historical
Oye_P,502,1015,Historical
Oye_P,531,1180,Historical
Oye_P,468,340,Historical
Oye_P,440,280,Historical
Cervo_P,524,1455.612245,Historical
Cervo_P,468,1102.4,Historical
Cervo_P,587,1870.204082,Historical
Cervo_P,370,525.7,Historical
Cervo_P,814,3070.980392,Historical
Cervo_P,370,569.25,Historical
Cervo_P,370,400.8,Historical
Cervo_P,342,353.2857143,Historical
Cervo_P,461,787,Historical
Cervo_P,524,1238.866667,Historical
Cervo_P,559,1394.333333,Historical
Cervo_P,678,1879.243697,Historical
Cervo_P,496,1119.027778,Historical
Oye_P,837,1908.25862,Historical
Oye_P,895,2569,Historical
Oye_P,706,1705,Historical
Oye_P,585,1178.37037,Historical
Oye_P,643,1510,Historical
Oye_P,552,629,Historical
Oye_P,671,1103,Historical
Oye_P,706,1312,Historical
Oye_P,585,708.5714286,Historical
Oye_P,643,847,Historical
Tocha_P,594,1892.8,Historical
Cervo_P,891,3650.714286,Historical
Cervo_P,849,2871.058824,Historical
Cervo_P,884,2833.647059,Historical
Cervo_P,342,348.6857143,Historical
Cervo_P,559,1457.466667,Historical
Cervo_P,678,1850,Historical
Cervo_P,496,955.625,Historical
Cervo_P,650,1650,Historical
Cervo_P,587,1541.848739,Historical
Cervo_P,650,1870.571429,Historical
Oye_P,615,904.3991885,Historical
Oye_P,734,1319,Historical
Oye_P,585,948.4210526,Historical
Oye_P,643,1121,Historical
Oye_P,615,1213.616962,Historical
Oye_P,804,2415,Historical
Oye_P,804,2027,Historical
Oye_P,797,2088,Historical
Oye_P,797,2179.897841,Historical
Cervo_P,468,1108.8,Historical
Cervo_P,587,1888.571429,Historical
Cervo_P,167,35.61666667,Historical
Cervo_P,202,60.55,Historical
Cervo_P,524,1552.268908,Historical
Cervo_P,678,2122.470588,Historical
Cervo_P,461,828.7619048,Historical
Cervo_P,615,1526.218487,Historical
Cervo_P,461,745,Historical
Cervo_P,587,1821.218487,Historical
Cervo_P,446,781.6666667,Historical
Cervo_P,384,432.6666667,Historical
Cervo_P,524,1140,Historical
Tocha_P,264,216.2666667,Historical
Tocha_P,327,342.2545455,Historical
Tocha_P,362,597.4545455,Historical
Tocha_P,264,179.6,Historical
Tocha_P,299,235.5333333,Historical
Tocha_P,390,479.5,Historical
Tocha_P,299,210.5333333,Historical
Cervo_P,524,1408.77551,Historical
Cervo_P,559,1603.979592,Historical
Cervo_P,524,1238.533333,Historical
Cervo_P,650,1653.193277,Historical
Cervo_P,587,1694.117647,Historical
Cervo_P,461,821.9047619,Historical
Cervo_P,433,684.5833333,Historical
Cervo_P,791,2934,Historical
Cervo_P,517,1289.75,Historical
Tocha_P,299,146.625,Historical
Tocha_P,125,21.12666667,Historical
Tocha_P,125,20.84363636,Historical
Tocha_P,244,109.7333333,Historical
Tocha_P,188,59.68,Historical
Tocha_P,244,111,Historical
Tocha_P,279,159.5,Historical
Tocha_P,188,54.2,Historical
Oye_P,867,1876.35187,Historical
Oye_P,986,2088,Historical
Oye_P,837,1679.10748,Historical
Oye_P,895,1911,Historical
Oye_P,643,1866,Historical
Oye_P,762,2517.649007,Historical
Oye_P,986,1900.076,Historical
Oye_P,797,2321,Historical
Oye_P,888,1900.1425,Historical
Cervo_P,433,888.2307692,Historical
Cervo_P,468,1101.5,Historical
Cervo_P,587,1824.571429,Historical
Cervo_P,342,443.9,Historical
Cervo_P,524,1280.266667,Historical
Cervo_P,559,1482,Historical
Cervo_P,678,1892,Historical
Cervo_P,496,1148.116883,Historical
Cervo_P,615,1550.756303,Historical
Cervo_P,650,1702.268908,Historical
Cervo_P,496,1083.833333,Historical
Cervo_P,615,1667.983193,Historical
Cervo_P,650,1782.016807,Historical
Cervo_P,496,1012.083333,Historical
Cervo_P,615,1622.268908,Historical
Cervo_P,370,399.2,Historical
Cervo_P,461,1046.923077,Historical
