Granja,FechaFin,Gen,Talla,Biomasa,Num
Hafnir_P,2024-09-30,24 2SG,b.100 - 200,533.323297302246,3084.0
Couso i+d,2024-09-30,24 2SG,c.200 - 300,0.226,1.0
Hafnir_P,2024-10-31,23 4SG,f.500 - 600,3635.861481366855,6068.0
Hafnir_P,2024-10-31,23 4SG,g.600 - 800,2578.707935338543,3731.0
Hafnir_P,2024-10-31,23 4SG,g.600 - 800,3420.746056774477,5590.0
Anglet_P,2024-10-31,23 5SG,e.400 - 500,1999.582827588125,4405.0
Couso i+d,2024-10-31,23 5SG,f.500 - 600,866.8308684371118,1717.0
Anglet_P,2024-10-31,23 5SG,g.600 - 800,258.61378318863603,431.0
Anglet_P,2024-10-31,23 5SG,f.500 - 600,416.47359319931206,788.0
Anglet_P,2024-10-31,23 5SG,f.500 - 600,6809.70510084286,12905.0
Couso i+d,2024-10-31,23 5SG,e.400 - 500,839.930513221088,1721.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,485.10409579692,933.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,3695.503691137655,7371.0
Hafnir_P,2024-10-31,23 5SG,e.400 - 500,3375.1145758311145,6920.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,113.7734999430374,197.0
Hafnir_P,2024-10-31,23 5SG,f.500 - 600,4012.074466740711,7045.0
Hafnir_P,2024-10-31,23 5SG,c.200 - 300,1309.7511897534,4385.0
Anglet_P,2024-10-31,23 6SG,f.500 - 600,5437.024682447956,10495.0
Anglet_P,2024-10-31,23 6SG,f.500 - 600,336.50859320751,639.0
Cervo Sole,2024-10-31,23 6SG,g.600 - 800,2044.6950870051653,3279.0
Hafnir_P,2024-10-31,23 6SG,f.500 - 600,2057.53939593282,3784.0
Hafnir_P,2024-10-31,24 2SG,c.200 - 300,2581.8241161864325,11912.0
Cervo Sole,2024-10-31,23 6SG,g.600 - 800,3165.720979162012,4145.0
Tocha Sole,2024-10-31,23 6SG,g.600 - 800,1463.4713113936457,2406.0
Tocha Sole,2024-10-31,23 6SG,g.600 - 800,4250.602201921918,6552.0
Tocha Sole,2024-10-31,23 6SG,g.600 - 800,3685.512420931063,5351.0
Anglet_P,2024-10-31,23 6SG,g.600 - 800,2853.619684917774,4721.0
Hafnir_P,2024-10-31,24 1SG,d.300 - 400,3330.4093709687927,9841.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,3811.347357759854,8222.0
Anglet_P,2024-10-31,24 2SG,d.300 - 400,1103.3928010301845,3509.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,1211.6292593509431,2720.0
Hafnir_P,2024-10-31,24 1SG,d.300 - 400,1669.434268873277,4524.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,2896.036115240799,7092.0
Hafnir_P,2024-10-31,24 1SG,e.400 - 500,1705.7494809007178,4009.0
Cervo Sole,2024-10-31,24 1SG,g.600 - 800,3576.070156928032,5237.0
Tocha Sole,2024-10-31,24 1SG,e.400 - 500,2971.321085634014,7042.0
Cervo Sole,2024-10-31,24 1SG,f.500 - 600,3345.7950828642824,6658.0
Tocha Sole,2024-10-31,24 1SG,d.300 - 400,1999.976548472241,6025.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,3924.3009170241817,6992.0
Tocha Sole,2024-10-31,24 1SG,e.400 - 500,331.3608176049552,686.0
Cervo Sole,2024-10-31,24 1SG,e.400 - 500,2617.423520798678,5475.0
Tocha Sole,2024-10-31,24 1SG,e.400 - 500,3477.1454201440506,7028.0
Couso i+d,2024-10-31,24 1SG,f.500 - 600,132.9572657110933,257.0
Anglet_P,2024-10-31,24 1SG,d.300 - 400,396.3702969195557,1055.0
Tocha Sole,2024-10-31,24 1SG,c.200 - 300,499.8007805159894,2068.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,3633.79511903548,7151.0
Cervo Sole,2024-10-31,24 1SG,f.500 - 600,1654.1471771709396,2853.0
Cervo Sole,2024-10-31,24 1SG,g.600 - 800,3213.226282118157,5257.0
Tocha Sole,2024-10-31,24 1SG,f.500 - 600,3941.74295348008,6727.0
Cervo Sole,2024-10-31,24 1SG,d.300 - 400,999.7328136940386,2552.0
Couso i+d,2024-10-31,24 1SG,e.400 - 500,159.73470263679997,332.0
Cervo Sole,2024-10-31,24 1SG,e.400 - 500,382.549539271715,884.0
Hafnir_P,2024-10-31,24 3SG,b.100 - 200,758.5453967266993,6688.0
Hafnir_P,2024-10-31,24 3SG,b.100 - 200,241.33855214027264,2053.0
Cervo Sole,2024-10-31,24 1SG,c.200 - 300,499.9455283224888,1719.0
Tocha Sole,2024-10-31,24 1SG,e.400 - 500,1219.8994631100934,2765.0
Couso i+d,2024-10-31,24 2SG,d.300 - 400,4.838851356360002,15.0
Couso i+d,2024-10-31,24 2SG,c.200 - 300,4.804550112736001,22.0
Anglet_P,2024-10-31,24 2SG,c.200 - 300,499.7864610454485,2117.0
Anglet_P,2024-10-31,24 2SG,c.200 - 300,0.2063211453261818,1.0
Hafnir_P,2024-10-31,24 2SG,c.200 - 300,108.28713280310086,381.0
Couso i+d,2024-10-31,24 3SG,b.100 - 200,4.855695630896552,28.0
Hafnir_P,2024-10-31,24 3SG,b.100 - 200,0.1043924512086416,1.0
Couso i+d,2024-10-31,24 4SG,b.100 - 200,0.1395322465444285,1.0
Couso i+d,2024-10-31,24 1SG,g.600 - 800,12.50934418240004,20.0
Hafnir_P,2024-11-30,23 4SG,g.600 - 800,1721.8239615534708,2673.0
Anglet_P,2024-11-30,23 5SG,f.500 - 600,4535.242280062998,8612.0
Anglet_P,2024-11-30,23 5SG,f.500 - 600,67.73653337006745,122.0
Anglet_P,2024-11-30,23 5SG,e.400 - 500,2510.967593012548,5129.0
Hafnir_P,2024-11-30,23 5SG,h.800 - 10000,804.3245476785116,962.0
Hafnir_P,2024-11-30,23 5SG,f.500 - 600,454.80464633314574,820.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,3204.545473488835,4965.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,2959.38583686756,4821.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,3255.889780259081,5341.0
Anglet_P,2024-11-30,23 6SG,f.500 - 600,2632.698220446768,4513.0
Tocha Sole,2024-11-30,23 6SG,g.600 - 800,3199.905181997284,4202.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,2366.756443250605,3595.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,3090.741873629285,4738.0
Anglet_P,2024-11-30,23 6SG,f.500 - 600,264.2235008625673,469.0
Anglet_P,2024-11-30,23 6SG,g.600 - 800,5122.11591325256,8521.0
Hafnir_P,2024-11-30,23 6SG,g.600 - 800,4700.825681150279,7148.0
Hafnir_P,2024-11-30,23 6SG,g.600 - 800,4568.160410440633,7458.0
Hafnir_P,2024-11-30,23 6SG,g.600 - 800,2508.8176654263266,3755.0
Hafnir_P,2024-11-30,23 6SG,f.500 - 600,4447.636940067759,7653.0
Anglet_P,2024-11-30,24 2SG,c.200 - 300,499.9373630275952,1832.0
Hafnir_P,2024-11-30,23 6SG,h.800 - 10000,195.36039397446908,224.0
Hafnir_P,2024-11-30,23 6SG,f.500 - 600,3097.528631461865,5188.0
Tocha Sole,2024-11-30,24 2SG,e.400 - 500,4277.050816768025,8703.0
Hafnir_P,2024-11-30,24 3SG,c.200 - 300,999.9060734280716,3334.0
Tocha Sole,2024-11-30,23 6SG,h.800 - 10000,681.4295782553012,818.0
