Granja,Edad,PesoMedio,Num,Gen,Tanque,Virtual,Fecha,Biomasa,YearClass,BiomasaBajas,NumBajas,Cull,NumBajas_cull,BiomasaBajas_cull,NumSinBajas,BiomasaSinBajas,FechaFin,DiasMes,PesoMedioSinBajas,Talla,BiomasaPescas,BiomasaSinPescas,NumPescas,NumSinPescas,PesoMedioSinPescas,Tasa,PesoMedioFinal,BiomasaFinal,NumFinal,EdadFinal,TallaFinal,Input
Hafnir_P,471,482.05126953125,7118,23 5SG,G26,False,2024-08-31,3431.240936523437,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,e.400 - 500,3431.240936523437,0.0,7118,0,0.0,0.1062554919999999,0.0,0.0,0,501,e.400 - 500,False
Hafnir_P,471,550.0,1114,23 5SG,S07C,False,2024-08-31,612.7,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,612.7,0.0,1114,0,0.0,0.1062554919999999,0.0,0.0,0,501,f.500 - 600,False
Hafnir_P,471,390.0,553,23 5SG,S03B,False,2024-08-31,215.67,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,d.300 - 400,215.67,0.0,553,0,0.0,0.1062554919999999,0.0,0.0,0,501,d.300 - 400,False
Hafnir_P,471,495.1690673828125,7156,23 5SG,G15,False,2024-08-31,3543.4298461914063,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,e.400 - 500,3543.4298461914063,0.0,7156,0,0.0,0.1062554919999999,0.0,0.0,0,501,e.400 - 500,False
Hafnir_P,471,660.0,370,23 5SG,S05A,False,2024-08-31,244.2,2023,15.839999999999996,24,False,0,0.0,346,228.36,2024-09-30,30,659.9999999999999,g.600 - 800,0.0,244.2,0,370,659.9999999999999,0.1062554919999999,730.1286247199998,252.62450415312,346,501,g.600 - 800,False
Hafnir_P,471,453.20197044334975,8688,23 5SG,G22,False,2024-08-31,3937.418719211823,2023,0.0,0,False,0,0.0,7371,3340.551724137931,2024-09-30,30,453.20197044334975,e.400 - 500,596.8669950738916,3340.551724137931,1317,7371,453.20197044334975,0.1062554919999999,501.3571687881773,3695.503691137655,7371,501,f.500 - 600,False
Hafnir_P,556,573.4265747070312,7212,23 4SG,G51,False,2024-08-31,4135.55245678711,2023,0.0,0,False,0,0.0,6068,3479.552455322266,2024-09-30,30,573.4265747070312,f.500 - 600,656.0000014648438,3479.552455322266,1144,6068,573.4265747070312,0.044922164,599.1861373379787,3635.861481366855,6068,586,f.500 - 600,False
Hafnir_P,471,470.0,933,23 5SG,S09,False,2024-08-31,438.51,2023,0.0,0,False,0,0.0,933,438.51,2024-09-30,30,470.0,e.400 - 500,0.0,438.51,0,933,470.0,0.1062554919999999,519.94008124,485.10409579692,933,501,f.500 - 600,False
Hafnir_P,471,522.058837890625,200,23 5SG,G47A,False,2024-08-31,104.411767578125,2023,1.566176513671875,3,False,0,0.0,197,102.84559106445312,2024-09-30,30,522.058837890625,f.500 - 600,0.0,104.411767578125,0,200,522.058837890625,0.1062554919999999,577.5304565636416,113.7734999430374,197,501,f.500 - 600,False
Hafnir_P,471,440.8866882324219,6920,23 5SG,G06,False,2024-08-31,3050.9358825683594,2023,0.0,0,False,0,0.0,6920,3050.9358825683594,2024-09-30,30,440.8866882324219,e.400 - 500,0.0,3050.9358825683594,0,6920,440.8866882324219,0.1062554919999999,487.73332020680846,3375.1145758311145,6920,501,e.400 - 500,False
Cervo Sole,458,822.9166870117188,3389,23 5SG,AG43,False,2024-08-31,2788.864652282715,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,h.800 - 10000,2788.864652282715,0.0,3389,0,0.0,0.194614196,0.0,0.0,0,488,h.800 - 10000,False
Tocha Sole,458,500.6666666666666,2595,23 5SG,AG27,False,2024-08-31,1299.2299999999998,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,1299.2299999999998,0.0,2595,0,0.0,0.194614196,0.0,0.0,0,488,f.500 - 600,False
Tocha Sole,458,526.1538461538462,6336,23 5SG,AG36,False,2024-08-31,3333.710769230769,2023,0.0,0,False,0,0.0,0,0.0,2024-09-30,30,0.0,f.500 - 600,3333.710769230769,0.0,6336,0,0.0,0.194614196,0.0,0.0,0,488,f.500 - 600,False
Anglet_P,444,476.1538461538461,5025,23 6SG,B04,False,2024-08-31,2392.673076923077,2023,0.0,0,False,0,0.0,5025,2392.673076923077,2024-09-30,30,476.1538461538462,e.400 - 500,0.0,2392.673076923077,0,5025,476.1538461538462,0.162724968,553.6359655323078,2782.0207267998467,5025,474,f.500 - 600,False
Anglet_P,444,472.8571428571429,5531,23 6SG,A04,False,2024-08-31,2615.3728571428574,2023,0.0,0,False,0,0.0,5531,2615.3728571428574,2024-09-30,30,472.85714285714295,e.400 - 500,0.0,2615.3728571428574,0,5531,472.85714285714295,0.162724968,549.802806297143,3040.959321629497,5531,474,f.500 - 600,False
Anglet_P,444,445.55555555555554,10495,23 6SG,F05,False,2024-08-31,4676.105555555555,2023,0.0,0,False,0,0.0,10495,4676.105555555555,2024-09-30,30,445.5555555555555,e.400 - 500,0.0,4676.105555555555,0,10495,445.5555555555555,0.162724968,518.0585690755555,5437.024682447956,10495,474,f.500 - 600,False
Couso i+d,276,309.0,519,24 2SG,A04,False,2024-08-31,160.371,2024,0.0,0,False,0,0.0,518,160.062,2024-09-30,30,309.0,d.300 - 400,0.309,160.062,1,518,309.0,0.355420548,418.824949332,216.951323753976,518,306,e.400 - 500,False
Anglet_P,444,510.6666666666667,8711,23 6SG,F04,False,2024-08-31,4448.417333333334,2023,427.9386666666667,838,False,0,0.0,3780,1930.3200000000004,2024-09-30,30,510.6666666666668,f.500 - 600,2090.1586666666667,2358.258666666667,4093,4618,510.6666666666667,0.162724968,593.7648836586668,2244.4312602297605,3780,474,f.500 - 600,False
Anglet_P,318,158.8181818181818,6558,24 2SG,CBG28,False,2024-08-31,1041.5296363636364,2024,0.0,0,False,0,0.0,6558,1041.5296363636364,2024-09-30,30,158.81818181818184,b.100 - 200,0.0,1041.5296363636364,0,6558,158.81818181818184,0.299102804,206.32114532618183,1353.054071049101,6558,348,c.200 - 300,False
Anglet_P,444,466.2745098039216,10249,23 6SG,F03,False,2024-08-31,4778.847450980392,2023,0.0,0,False,0,0.0,10249,4778.847450980392,2024-09-30,30,466.2745098039216,e.400 - 500,0.0,4778.847450980392,0,10249,466.2745098039216,0.162724968,542.1490144909803,5556.485249518058,10249,474,f.500 - 600,False
Anglet_P,444,506.0,5755,23 6SG,A03,False,2024-08-31,2912.03,2023,411.884,814,False,0,0.0,4941,2500.146,2024-09-30,30,506.0,f.500 - 600,0.0,2912.03,0,5755,506.0,0.162724968,588.338833808,2906.982177845328,4941,474,f.500 - 600,False
Anglet_P,444,500.64516129032256,6048,23 6SG,B01,False,2024-08-31,3027.901935483871,2023,430.55483870967737,860,False,0,0.0,5188,2597.3470967741937,2024-09-30,30,500.6451612903227,f.500 - 600,0.0,3027.901935483871,0,6048,500.64516129032256,0.162724968,582.1126291406453,3020.000319981668,5188,474,f.500 - 600,False
Hafnir_P,430,474.8743591308594,7494,23 6SG,G07,False,2024-08-31,3558.70844732666,2023,0.0,0,False,0,0.0,7494,3558.70844732666,2024-09-30,30,474.8743591308594,e.400 - 500,0.0,3558.70844732666,0,7494,474.8743591308594,0.1450338119999999,543.7471976566649,4074.841499239047,7494,460,f.500 - 600,False
Hafnir_P,430,510.5105105105105,6812,23 6SG,G46,False,2024-08-31,3477.597597597597,2023,1.5315315315315314,3,False,0,0.0,6809,3476.066066066066,2024-09-30,30,510.5105105105105,f.500 - 600,0.0,3477.597597597597,0,6812,510.5105105105105,0.1450338119999999,584.5517959159159,3980.213178391472,6809,460,f.500 - 600,False
Hafnir_P,430,470.0,1330,23 6SG,S09A,False,2024-08-31,625.1,2023,0.0,0,False,0,0.0,1330,625.1,2024-09-30,30,470.00000000000006,e.400 - 500,0.0,625.1,0,1330,470.00000000000006,0.1450338119999999,538.16589164,715.7606358812001,1330,460,f.500 - 600,False
Anglet_P,100,12.2704266143659,2536,24 5SG,9_Indef_Anglet_P_9_2024,True,2024-08-31,31.117801894031924,2024,0.0,0,False,0,0.0,2536,31.117801894031924,2024-09-30,30,12.2704266143659,a.0 - 100,0.0,31.117801894031924,0,2536,12.2704266143659,0.001,12.282697040980269,31.14891969592596,2536,130,a.0 - 100,True
