Granja,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Total
Anglet_P,71000,71600,0,71600,70700,70700,70700,70700,70700,70700,70700,70700,0,0,0,0,68000,67000,914800
Cervo Sole,90000,90000,90000,0,0,0,0,0,0,0,0,0,45000,45000,45000,45000,122000,0,572000
Couso i+d,0,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,0,34000
Hafnir_P,65000,65000,130000,130000,130000,130000,65000,65000,65000,65000,65000,130000,117000,117000,117000,117000,116000,117000,1806000
Tocha Sole,86000,92500,42500,42500,42500,42500,42500,42500,42500,42500,42500,42500,76000,76000,76000,76000,48000,48000,1003500
Total,312000,335600,262500,244100,243200,243200,178200,178200,178200,178200,178200,243200,238000,238000,238000,238000,371500,232000,4330300
